[0000.00] 各位天才小大師，歡迎來到本週的課前任務！
[0004.74] 準備解開神秘密碼囉！
[0007.24] 想像一下，你想烤個超好吃的蛋糕，廚房卻一團糟！
[0012.77] 咦？如果你還沒烤，就直接大口咬下去，會發生什麼事？
[0017.77] 絕對是一場大災難！順序全錯的話，什麼事都會搞砸！
[0024.03] 這時，演算法就出馬了！
[0027.37] 它就像一張超完美的步驟食譜
[0030.73] 告訴你們一個秘密
[0032.81] 超強演算法背後都藏著三個神奇公式。
[0036.85] 沒錯，就是 IPO，輸入，處理，最後是輸出
[0041.57] 做蛋糕時，輸入是材料，處理是拿去烤
[0045.77] 輸出就是美味甜點
[0048.13] 要記住喔，輸入不只是開始
[0051.25] 而是你真正需要的具體材料
[0054.37] 那麼，如果我們叫電腦來幫忙烤這個蛋糕呢？
[0058.37] 你的大腦充滿創意，但電腦跟 AI 其實超級死板的啦！
[0063.87] 它們不會通靈，只會死盯著指令；叫它往東，絕不往西。
[0069.37] 指令太模糊，電腦就會當機，就像笨笨的機器人直接撞牆
[0076.37] 所以，我們必須除錯，把大動作切成超級清楚的小指令
[0082.87] 說到底 AI 只是工具
[0085.87] 你才是發號司令的聰明大老闆
[0088.87] 記住黃金守則
[0091.46] 你先動腦想
[0092.96] AI 來輔助
[0094.96] 最後由你來判斷
[0096.96] 因為只有你能確認答案對不對
[0100.46] 並為最後的完美作品負責
[0102.96] 暖身結束
[0104.96] 準備好迎接本週的動手大挑戰了嗎
[0107.96] 先選一個挑戰情景
[0109.96] 是磁力玩具安全提醒
[0111.96] 還是校園導覽呢？
[0114.22] 第一步，針對你的情境
[0116.48] 把所有需要的輸入清單列出來
[0120.02] 接著，寫下處理規則
[0122.52] 記得要有如果、就的判斷喔
[0126.32] 最後一步，精準定義出你的輸出結果
[0129.92] 到底長什麼樣子
[0132.12] 來當個小偵探吧
[0134.08] 揪出那些可能讓演算法崩潰的極端狀況。
[0138.12] 最後，留個問題給你們討論
[0140.42] 如果兩個輸入同時發生
[0142.86] 演算法該怎麼辦？
