[0000.00] 準備好了嗎？
[0001.08] 歡迎來到第15週。
[0002.84] 今天我們要學精準指令
[0005.04] 化身最狂的機器人馴獸師喔！
[0008.60] 想像一下，
[0009.52] 如果你隨口對機器人說
[0011.76] 快一點，或是去拿那個，
[0013.56] 你猜會怎樣？
[0015.00] 我們人類聽得懂，
[0016.12] 但電腦根本沒常識。
[0018.40] 指令太模糊，
[0019.40] 它絕對直接當機，
[0021.24] 甚至撞牆。
[0022.80] 所以我們需要演算法。
[0025.52] 它就像超詳細的秘密食譜，
[0028.60] 步驟跟順序絕對不能錯
[0031.16] 它的神奇公式就是
[0033.60] 給它輸入資料
[0035.44] 讓大腦處理
[0036.76] 最後就能蹦出你要的輸出結果啦
[0040.52] 最關鍵的其實是精準
[0043.60] 說走去那邊太瞎了
[0046.20] 向前三步再右轉才是神指令
[0049.92] 但等等
[0051.42] 如果你下了神指令
[0053.30] 機器人卻還是直直撞牆
[0055.62] 這時候該怎麼辦呢？
[0057.30] 這時候就換除錯登場啦
[0059.90] 我們要像名偵探一樣，
[0061.86] 抓出錯誤步驟立刻改掉
[0064.70] 這是個超酷的迴圈
[0067.10] 先預測、執行看看、仔細觀察
[0070.80] 然後精準找出到底是哪裡卡關
[0074.70] 接著就是修好它、重新測試
[0078.60] 一直重複這個迴圈
[0080.60] 直到機器人完美過關為止
[0083.30] 記住喔，錯誤絕對不是失敗
[0086.20] 它其實是偷偷暗示你該怎麼修正的寶貴情報呢？
[0090.36] 這次挑戰， AI 會當你的小助手
[0093.52] 但我們有嚴格的合作規則
[0095.60] 你才是真正的老闆
[0097.92] 老闆要先動腦
[0099.52] AI 只是幫你擴充點子
[0101.76] 最後還是要由你親自查證並做決定喔
[0105.40] 好啦，本週任務來囉
[0107.80] 老師會變成超死板的機器人
[0110.92] 完全只聽你字面上的指令做事
[0114.32] 你的任務就是寫出無敵演算法，
[0117.32] 帶領老師機器人閃避障礙
[0119.72] 一路平安走到終點喔
[0122.22] 但千萬小心
[0123.52] 要是指令不清楚
[0125.02] 老師機器人絕對不會自己亂猜
[0128.32] 他真的會撞牆喔
[0130.72] 先寫草稿再實測
[0132.82] 別想著一次就完美
[0134.62] 記住
[0135.22] 每次測試只要專心解決一個錯誤就好
[0138.82] 現在按個暫停想一想
[0140.62] 下次你的程式讓電腦撞牆的時候
[0143.52] 你會先做的第一件事是什麼？
