[0000.00] 歡迎來到第三十週，
[0001.80] 準備好為你的超棒作品
[0003.80] 做最後的衝刺了嗎？
[0005.80] 你有沒有過發明瞭超酷的遊戲，
[0009.00] 朋友卻完全搞錯怎麼玩的經驗？
[0011.80] 今天我們就要來大解密，
[0013.60] 看看你的作品到底好不好用。
[0016.83] 記住測試的黃金法則，
[0019.43] 千萬別開口教，
[0021.23] 安靜觀察它們卡在哪就好。
[0024.53] 盯緊它們哪裡停頓，
[0026.13] 誤解或成功，
[0027.53] 這些真實反應才是進步的關鍵
[0030.33] 把意見分輕重緩急
[0032.93] 就像修玩具車，
[0034.13] 先修好破輪子
[0035.53] 再去管烤漆顏色。
[0037.33] 沒錯
[0038.33] 今天只要挑出最最重要的一兩點
[0041.53] 優先動手修改就好囉
[0043.73] 你才是大老闆
[0045.73] 永遠是你先想點子，
[0047.53] AI 只是幫忙擴充的小助手
[0050.93] 這裡有個絕對要遵守的隱私鐵則：
[0054.59] 千萬別把真名和照片傳給 AI 
[0058.49] 記住喔， AI 只能給建議
[0061.49] 最後做決定
[0062.69] 負起全責的
[0064.09] 永遠是你自己
[0065.89] 接著
[0067.19] 來看看今天這 90 分鐘裡
[0069.89] 我們要挑戰什麼超讚的任務
[0072.79] 先動手測試
[0074.49] 排好修改順序
[0076.29] 最後比較一下
[0077.79] 升級前後的差異吧
[0079.89] 接著
[0080.89] 把重點元素的積木拼起來
[0083.49] 準備你最閃亮的最終發表
[0086.69] 跟著老師計時練習
[0089.13] 一次抓一個內容或表達的小缺點來修正就好
[0093.21] 影片先暫停
[0095.01] 跟老師聊聊
[0096.21] 如果重來一次
[0097.69] 你會改變什麼呢
